Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,"Macao SAR, China",MAC,6693145162.14694,7865223750.74331,8921178132.69412,10087548839.0344,11253480443.3483,12021851080.0305,12118477100.3709,12472213746.2978,13286454877.0289,14058660771.9253,12136593757.8154,13190004112.1564,12491435432.6474,14543634873.1737,15414906696.433
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Malaysia,MYS,122705782240.591,142921428508.403,156124658079.3,167491031953.001,177210452020.557,162616927333.648,165051280153.683,176760121345.695,206037423825.255,218272887190.493,205888852146.863,216822304116.19,234948922036.338,241825507173.033,256552030754.117
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Marshall Islands,MHL,125350000,133805800,138817500,146783600,143059800,142193400,147054700,161698400,165404000,174839600,169688100,171299397.468567,186262395.381927,187208135.604858,198025819.778442
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Mongolia,MNG,3969815304.98255,5359604457.82902,6517483315.90035,7020658397.46313,6924120623.32302,7192706603.79565,6790003077.35743,6459632701.10909,7637417028.1756,8134879145.96325,8050570296.46574,8102208268.22066,8892189448.10451,9049203222.52678,11761909064.9202
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,New Caledonia,NCL,5759369754.85334,6387155738.3153,6154688527.37958,6489076971.77506,6673748266.54714,5710558178.10183,5740518298.95431,6018805965.30568,6342319998.94069,6042612607.42133,6101798504.58704,6422150293.49333,5857820916.89966,6047924605.39588,5614551598.3592
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,New Zealand,NZL,84727722912.2429,98128417085.1465,103613946016.828,109790982886.977,115617343693.831,102132882372.426,109476688536.573,118686237706.423,122584313069.751,121784073128.551,121496700838.168,146140896873.674,143489976857.478,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Northern Mariana Islands,MNP,442000000,446000000,460000000,490000000,525000000,529000000,571000000,654000000,678000000,683000000,637000000,717000000,726000000,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Palau,PLW,135061127.185822,143741063.117981,159544576.644897,169660761.833191,182771643.638611,194927960.87265,207198130.130768,209879344.463348,212484035.015106,207095726.013184,205102278.709412,196177203.178406,216092841.148376,223887832.641602,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Philippines,PHL,146259236887.688,168943830475.728,190036403236.228,204440591591.447,212028490469.928,222090173334.236,231175324213.543,237102808739.117,251608899173.456,275858995374.199,271563141259.037,296592543563.141,307006689363.257,334429914559.429,351500468924.644
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Samoa,WSM,513638321.339165,551232939.254636,580134260.621361,611215653.527234,584843473.5773,570512689.265332,569192350.690561,613189559.573384,593459968.669844,610961700.842362,627356412.030411,691501711.973085,771603406.48302,856738366.352446,891530722.749007
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Singapore,SGP,87141036209.5419,102288086272.913,110087494678.621,114828897946.136,118339528826.802,114446347716.982,116554497642.496,121000706048.482,130381764506.147,134113863643.361,112039279807.384,125380670987.277,142475739246.678,159663590183.554,172365448241.437
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Solomon Islands,SLB,579025074.405127,659795370.170235,744256455.624159,795059930.654258,853091780.954654,829861757.406664,865991984.82151,888172575.29102,957871148.456407,966909773.337019,966416481.47567,1003308016.85992,1038550076.45166,1160415567.10669,1297534637.92032
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Thailand,THA,177973221678.356,196389099957.028,211772947170.121,220894789088.33,214244913143.488,206044362022.73,206722258198.524,223299328331.557,247744599496.147,270757912864.522,265483025913.896,264434481270.702,270448356312.07,296550311820.903,306489221907.988
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Timor-Leste,TLS,629594335.392487,708023405.260617,812762271.414629,898001866.709751,937692931.822342,923691837.825644,960343445.233454,998466910.551987,1032447869.78728,1101377571.81304,1091554345.56912,1096212654.53403,1369491216.61333,1456861021.68468,1560318367.73546
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Tonga,TON,345350428.032791,365147863.849214,405362988.013678,415911540.89953,433810784.3061,440408177.301009,405202604.10157,441961577.619463,492616563.338688,490118678.283094,475606015.678171,438685244.467077,489161634.214441,590086256.89231,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Vanuatu,VUT,429592303.282714,488246414.54413,489952772.905141,502377237.750218,529958963.20602,500453407.447366,523825766.3056,545024540.851025,539281986.111741,519974723.814089,652903449.471312,705913524.131473,795395617.124991,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Viet Nam,VNM,86016397397.6116,97489448121.9225,108951134209.07,121566006829.777,133107276297.371,141958257041.8,151010489245.505,163179276483.274,176999133892.917,190013330350.512,193990716426.122,203463215115.648,226068833757.588,235637302406.739,256646443225.925
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,
